id,behavior,terrainType,encounterType
0,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
1,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
2,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
3,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
4,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
5,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
6,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
7,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
8,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
9,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
10,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
11,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
12,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
13,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
14,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
15,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
16,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
17,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
18,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
19,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
20,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
21,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
22,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
23,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
24,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
25,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
26,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
27,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
28,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
29,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
30,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
31,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
32,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
33,MB_ICE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
