id,behavior,terrainType,encounterType
0,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
1,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
2,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
3,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
4,MB_ROCK_STAIRS,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
5,MB_LADDER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
6,MB_MT_PYRE_HOLE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
7,MB_SOUTH_ARROW_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
8,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
9,MB_IMPASSABLE_NORTH,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
10,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
11,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
12,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
13,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
14,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
15,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
16,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
17,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
18,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
19,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
20,MB_NON_ANIMATED_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
21,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
22,MB_LADDER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
23,MB_LADDER,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
24,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
25,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
26,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
27,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
28,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
29,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
30,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
31,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
32,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
33,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
34,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
35,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
36,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
37,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
38,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
39,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
40,MB_JUMP_WEST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
41,MB_JUMP_EAST,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
42,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
43,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
