id,behavior,terrainType,encounterType
0,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
1,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
2,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
3,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
4,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
5,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
6,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
7,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
8,MB_SAND,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
9,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
10,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
11,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
12,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
13,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
14,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
15,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
16,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
17,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
18,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
19,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
20,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
21,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
22,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
23,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
24,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
25,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
26,MB_ANIMATED_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
27,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
28,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
29,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
30,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
31,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
32,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
