id,behavior,terrainType,encounterType
0,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
1,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
2,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
3,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
4,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
5,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
6,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
7,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
8,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
9,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
10,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
11,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
12,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
13,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
14,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
15,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
16,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
17,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
18,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
19,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
20,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
21,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
22,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
23,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
24,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
25,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
26,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
27,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
28,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
29,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
30,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
31,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
32,MB_CAVE,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_LAND
