id,behavior,terrainType,encounterType
0,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
1,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
2,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
3,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
4,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
5,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
6,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
7,MB_SAND,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
8,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
9,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
10,MB_SOUTH_ARROW_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
11,MB_SOUTH_ARROW_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
12,MB_SOUTH_ARROW_WARP,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
13,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
14,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
15,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
16,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
17,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
18,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
19,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
20,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
21,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
22,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
23,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
24,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
25,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
26,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
27,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
28,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
29,MB_NORMAL,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
30,MB_ANIMATED_DOOR,TILE_TERRAIN_NORMAL,TILE_ENCOUNTER_NONE
31,MB_OCEAN_WATER,TILE_TERRAIN_WATER,TILE_ENCOUNTER_WATER
