POKEMON,NICKNAME,OT,id,REQUEST
MR_MIME,MARCEL,TRAINER,,ABRA
NIDORAN_F,SPOT,TRAINER,,NIDORAN_M
NIDORAN_M,Chappy,TRAINER,,NIDORAN_F
Nidorina,TERRY,TRAINER,,Nidorino
Lickitung,MARC,TRAINER,,Slowbro
Jynx,LOLA,TRAINER,,Poliwhirl
Farfetch'd,DUX,TRAINER,,Spearow
Seel,SAILOR,TRAINER,,Ponyta
Electrode,DORIS,TRAINER,,Raichu
Tangela,CRINKLES,TRAINER,,Venonat
Beedrill,CHIKUCHIKU,TRAINER,,Butterfree
Mr. Mime,MASARU,TRAINER,,Jigglypuff
Poliwag,ROMO-TAN,TRAINER,,Rattata
Kangaskhan,RODAN,TRAINER,,Rhydon
Tauros,GYUTA,TRAINER,,Persian
Haunter→Gengar,GHOSUKE,TRAINER,,Machoke
Farfetch'd,AKKA,TRAINER,,Pidgey
Graveler→Golem,SABURO,TRAINER,,Kadabra
Slowpoke,OSCAR,TRAINER,,Seel
Krabby,DORAKU,TRAINER,,Growlithe
Beedrill,PRICKLE,TRAINER,,Butterfree
Mr. Mime,MILES,TRAINER,,Clefairy
Machoke → Machamp,RICKY,TRAINER,,Cubone
Dugtrio,GURIO,TRAINER,,Lickitung
Parasect,SPIKE,TRAINER,,Tangela
Rhydon,BUFFY,TRAINER,,Golduck
Dewgong,CEZANNE,TRAINER,,Growlithe
Muk,STICKY,TRAINER,,Kangaskhan
Beedrill,STINGER,TRAINER,,Butterfree
Pidgeot,MARTY,TRAINER,,Pidgeot
Onix,ROCKY,KYLE,48926,Bellsprout
Machop,MUSCLE,MIKE,37460,Drowzee
Voltorb,VOLTY,TIM,29189,Krabby
Rhydon,DON,EMY,283,Dragonair ♀
Rapidash,RUNNY,CHRIS,15616,Gloom
Aerodactyl,AEROY,KIM,26491,Chansey
Onix,ROCKY,KYLE,48926,Bellsprout
Machop,MUSCLE,MIKE,37460,Abra
Voltorb,VOLTY,TIM,29189,Krabby
Dodrio,DORIS,EMY,283,Dragonair ♀
Xatu,PAUL,CHRIS,15616,Haunter
Magneton,MAGGIE,FOREST,50082,Dugtrio
Aerodactyl,AEROY,KIM,26491,Chansey
Makuhita,MAKIT,ELYSSA,49562,Slakoth
Skitty,SKITIT,DARRELL,2259,Pikachu
Corsola,COROSO,LANE,50183,Bellossom
Mr. Mime,MIMIEN,REYLEY,1985,Abra
Nidoran♂,MR. NIDO,SAIGE,63184,Nidoran♀
Nidoran♀,MS. NIDO,SAIGE,63184,Nidoran♂
Nidorino,NINO,TURNER,13637,Nidorina
Nidorina,NINA,TURNER,13637,Nidorino
Lickitung,MARC,HADEN,1239,Golduck
Jynx,ZYNX,DONTAE,36728,Poliwhirl
Farfetch'd,CH'DING,ELYSSA,8810,Spearow
Seel,SEELOR,GARETT,9853,Ponyta
Electrode,ESPHERE,CLIFTON,50298,Raichu
Tangela,TANGENY,NORMA,60042,Venonat
Seedot,DOTS,KOBE,38726,Ralts
Plusle,PLUSES,ROMAN,8460,Volbeat
Horsea,SEASOR,SKYLAR,46285,Bagon
Meowth,MEOWOW,ISIS,25945,Skitty
Abra,Kazza,Hilary,25643,Machop
Chatot,Charap,Norton,44142,Buizel
Haunter,Gaspar,Mindy,19248,Medicham
Magikarp,Foppa,Meister,53277,Finneon
Onix,Rocky,Rudy,48926,Bellsprout
Machop,Muscle,Jose,37460,Drowzee
Voltorb,Billy,Richard,29189,Krabby
Dodrio,Doris,Ayana,283,Dragonair ♀
Magneton,Maggie,Lorenzo,50082,Dugtrio
Xatu,Paul,Mondo,15616,Haunter
Pikachu,Volty,Surge,33038,Pikachu
Beldum,Iron,Steven,23478,Forretress
Rhyhorn,Hornlette,Brock,6845,Bonsly
Steelix,Rusty,Jasmine,26491,Any Pokémon
Petilil,Lillil,Dye,39922,Cottonee
Cottonee,Fluffee,Dye,39922,Petilil
Red-Striped Basculin,Redeye,Kyle,27646,Minccino
Blue-Striped Basculin,Blueeye,Kyle,27646,Minccino
Emolga,Minipete,Manny,11195,Boldore
Rotom,Eeks,Lillian,54673,Ditto
Munchlax,Gorge,Ander,40217,Cinccino
Petilil,Petulia,Calla,65217,Cottonee
Cottonee,Fluffee,Cotton,5720,Petilil
Gigalith,-,Manny,11195,Emolga
Tangrowth,Tangles,Slick,27658,Mantine
Rotom,Bucky,Lillian,54673,Ditto
Ambipom,Ambidexter,Diana,17074,Excadrill
Alakazam,Beardy,Diana,17074,Hippowdon
Farfetch'd,Quacklin',Cliff,185,Bunnelby
Steelix,Thumper,Farris,19250,Luvdisc
Bisharp,Pierce,Punky,3447,Jigglypuff
Chespin,Chester,Shauna,37,Any Pokémon
Fennekin,Kinniekins,Shauna,37,Any Pokémon
Froakie,Froabble,Shauna,37,Any Pokémon
Ralts,Ralts,Diantha,37110,Any Pokémon
Magikarp,Carpe Diem,Caveat,44285,Gyarados
Eevee,Stevie,Elena,29294,Any Pokémon
Makuhita,Makit,Darrell,30724,Slakoth
Skitty,Skitit,Elyssa,3239,Spinda
Corsola,Coroso,Lane,325,Bellossom
Machop,Macho,Hila,410,Spearow
Bounsweet,Bouncee,Kihei,610507,Lillipup
Poliwhirl,Whirly,Laule'a,590916,Zubat
Happiny,Happini,Momoe,10913,Pancham
"Alolan Graveler
→ Alolan Golem",Veler,Sill,610602,Haunter
Steenee,Stena,Kumu,610503,Granbull
Talonflame,Talo,Anga,581022,Bewear
Hawlucha,Cha,Hila,410,Spearow
Noibat,Noinoi,Kihei,610507,Lillipup
Barboach,Babo,Yuichi,590916,Tentacool
Arbok,Arbo,Miyo,10913,Trumbeak
Phantump →Trevenant,Tumptump,Sill,610602,Phantump
West Sea Shellos,Solle,Kumu,610503,Granbull
Tauros,Professor,Anga,581022,Bewear
Alolan Rattata,,Tatianna,121106,Rattata
Alolan Geodude,,Higeo,551873,Geodude
Alolan Diglett,,Diggette,520159,Diglett
Alolan Sandshrew,,Nicholice,703019,Sandshrew
Alolan Vulpix,,Nicholice,703019,Vulpix
Alolan Raichu,,Psytrice,940711,Raichu
Alolan Marowak,,Genmar,102595,Marowak
Alolan Grimer,,Darko,219,Grimer
Alolan Meowth,,Darko,219,Meowth
Alolan Exeggutor,,Exemann,60310,Exeggutor
Skwovet,Cheekers,Haley,648753,Bunnelby
Meowth,Cash,Mattia,263455,Galarian Meowth
Cottonee,Candyfloss,Grazia,101154,Minccino
Togepi,Snips,Holly,109591,Toxel
Hatenna,Fringe,Romeo,101101,Maractus
Impidimp,Peepers,Romeo,256081,Maractus
Yamask,Masky,Eve,102534,Galarian Yamask
Throh,Reddos,Grimm,768945,Vanillish
Sawk,Blubop,Grimm,881426,Vanillish
Mr. Mime,Mymo,Edmund,891846,Obstagoon
Duraludon,Linear,Kapoor,101141,Frosmoth
Meowth,,Regina,101141,Galarian Meowth
Ponyta,,Regina,101141,Galarian Ponyta
Farfetch'd,,Regina,101141,Galarian Farfetch'd
Alolan Exeggutor,,Regina,101141,Exeggutor
Alolan Marowak,,Regina,101141,Marowak
Weezing,,Regina,101141,Galarian Weezing
Mr. Mime,,Regina,101141,Galarian Mr. Mime
Corsola,,Regina,101141,Galarian Corsola
Zigzagoon,,Regina,101141,Galarian Zigzagoon
Darumaka,,Regina,101141,Galarian Darumaka
Stunfisk,,Regina,101141,Galarian Stunfisk
Abra,Kazza,Hilary,25643,Machop
Chatot,Charap,Norton,44142,Buizel
Haunter,Gaspar,Mindy,19248,Medicham
Magikarp,Foppa,Meister,53277,Finneon
Snom,Snowsalot,Glen,50724,Flabébé (any form)
Wooper,Manchester,Sue,33081,Paldean Wooper
Haunter → Gengar,Hauntikins,Blossom,16519,Pincurchin
Heracross,Bois,Tracie,797394,Pikachu
Riolu,Riolouie,Bond,348226,Abra
Galarian Slowpoke,Spicy,Quille,934764,Slowpoke
Alolan Raichu,Floffy,Griddella,693489,Raichu
Porygon,Alias,Trian,65536,Porygon
